cid	frequency
1	0.010134877695648862
2	0.10172978739617465
3	1.0
4	0.023089232644974474
5	0.4248266402499428
6	0.07223957936447459
7	0.005181741979730245
8	0.06416215804313039
9	0.012268536157890727
10	0.22266250095252613
11	0.01600243846681399
12	0.029795016383448905
13	0.03170006858187914
14	0.6119789682237293
15	0.05189362188523966
16	0.16596814752724226
17	0.052122228149051285
18	0.6516802560390155
19	0.010058675607711651
20	0.2747085270136402
21	0.1866951154461632
22	0.07048693134191877
23	0.06858187914348854
24	0.05196982397317687
25	0.3109045187838147
26	0.02369884934847215
27	0.10630191267240723
28	0.004724529452106988
29	0.07490665244227693
30	0.20429779775965862
31	0.07102034595747925
32	0.08740379486397927
33	0.0441972110035815
34	0.07749752343214204
35	0.024079859788158197
36	0.06957250628667226
37	0.14325992532195383
38	0.0025146689019279133
39	0.12390459498590262
40	0.22990169930656099
41	0.11582717366455841
42	0.015088013411567477
43	0.03665320429779776
44	0.011582717366455842
45	0.336127409891031
46	0.05562752419416292
47	0.006248571210851178
48	0.044273413091518714
49	0.060885468261830375
50	0.015697630115065152
51	0.0025146689019279133
52	0.01615484264268841
53	0.19484873885544465
54	0.069115293759049
55	0.005257944067667455
56	0.021717595062104703
57	0.10188219157204907
58	0.005257944067667455
59	0.059437628591023396
60	0.3843633315552846
61	0.14889887982930733
62	0.01615484264268841
63	0.043282785948334984
64	0.2947496761411263
65	0.019888744951611675
66	0.014097386268383754
67	0.018517107368741906
68	0.04069191495846986
69	0.018212299016993068
70	0.03817724605654195
71	0.0025146689019279133
72	0.012649546597576774
73	0.007010592090223272
74	0.04114912748609312
75	0.008458431761030253
76	0.027127943305646576
77	0.027127943305646576
78	0.10934999618989562
79	0.009830069343900023
80	0.019355330336051208
81	0.05875180979958851
82	0.009982473519774443
83	0.015469023851253524
84	0.06690543320886992
85	0.04625466737788616
86	0.015392821763316316
87	0.014325992532195382
88	0.0027432751657395418
89	0.006324773298788387
90	0.005029337803855826
91	0.07513525870608855
92	0.0176788844014326
93	0.01783128857730702
94	0.03200487693362798
95	0.01790749066524423
96	0.038634458584165206
97	0.0088394422007163
98	0.039548883639411725
