pid	frequency
1	0.027027027027027032
2	0.18243243243243246
3	0.0945945945945946
5	0.0
6	0.033783783783783786
7	0.010135135135135136
8	0.05067567567567568
10	0.02364864864864865
11	0.027027027027027032
12	0.0
13	0.013513513513513513
14	0.010135135135135136
16	0.02027027027027027
17	0.010135135135135136
18	0.0
19	0.08108108108108107
21	0.3074324324324324
22	0.06756756756756757
23	0.006756756756756758
24	0.4358108108108108
25	0.027027027027027032
26	0.07094594594594596
27	0.08108108108108107
30	0.003378378378378378
31	0.037162162162162164
32	0.25
33	0.003378378378378378
34	0.06418918918918919
35	0.0
36	0.006756756756756758
37	0.22635135135135134
38	0.057432432432432436
39	0.09121621621621621
41	0.003378378378378378
43	0.013513513513513513
45	0.010135135135135136
46	0.05067567567567568
48	0.11148648648648647
49	0.08108108108108107
50	0.006756756756756758
51	0.05067567567567568
53	0.003378378378378378
54	0.006756756756756758
55	0.04054054054054054
57	0.057432432432432436
59	0.05067567567567568
60	0.006756756756756758
61	0.013513513513513513
62	0.6317567567567567
63	0.016891891891891893
64	0.010135135135135136
65	0.010135135135135136
66	0.006756756756756758
67	0.04054054054054054
68	0.033783783783783786
70	0.0472972972972973
71	0.02027027027027027
72	0.0
73	0.16891891891891894
74	0.0472972972972973
75	0.0
76	0.02027027027027027
77	0.19594594594594597
78	0.0
79	0.1587837837837838
80	0.003378378378378378
81	0.037162162162162164
82	0.013513513513513513
83	0.25
84	0.28040540540540543
85	0.09797297297297297
86	0.010135135135135136
88	0.02364864864864865
89	0.003378378378378378
91	0.02027027027027027
92	0.0
93	0.05405405405405405
94	0.1587837837837838
95	0.010135135135135136
96	0.016891891891891893
97	0.016891891891891893
98	0.006756756756756758
99	0.013513513513513513
100	0.02364864864864865
102	0.006756756756756758
103	0.6216216216216216
104	0.013513513513513513
105	0.10472972972972971
106	0.037162162162162164
107	0.04054054054054054
108	0.033783783783783786
109	0.02364864864864865
110	0.04391891891891892
111	0.07094594594594596
112	0.006756756756756758
114	0.04391891891891892
115	0.006756756756756758
116	0.010135135135135136
117	0.02364864864864865
118	0.02027027027027027
119	0.057432432432432436
120	0.08445945945945946
121	0.08108108108108107
122	0.006756756756756758
123	0.04391891891891892
124	0.010135135135135136
125	0.12837837837837837
126	0.033783783783783786
127	0.013513513513513513
128	0.013513513513513513
129	0.027027027027027032
130	0.0945945945945946
131	0.013513513513513513
132	0.013513513513513513
133	0.016891891891891893
134	0.0
135	0.05405405405405405
137	0.006756756756756758
138	0.006756756756756758
139	0.003378378378378378
140	0.05067567567567568
141	0.05405405405405405
142	0.016891891891891893
143	0.033783783783783786
144	0.0472972972972973
145	0.006756756756756758
146	0.02364864864864865
147	0.11148648648648647
148	0.06756756756756757
149	0.0
151	0.037162162162162164
152	0.4324324324324324
153	0.033783783783783786
155	0.003378378378378378
156	0.027027027027027032
158	0.010135135135135136
159	0.0
160	0.0777027027027027
161	0.0472972972972973
162	0.02364864864864865
164	0.027027027027027032
166	0.0
167	0.010135135135135136
168	0.05067567567567568
169	0.027027027027027032
170	0.125
171	0.14189189189189189
172	0.02364864864864865
173	0.08445945945945946
174	0.0
175	0.013513513513513513
176	0.0945945945945946
177	0.23648648648648649
178	0.003378378378378378
180	0.06418918918918919
181	0.0
182	0.0
183	0.08108108108108107
184	0.003378378378378378
185	0.013513513513513513
186	0.033783783783783786
188	0.0777027027027027
189	0.04391891891891892
190	0.04391891891891892
191	0.006756756756756758
192	0.027027027027027032
193	0.030405405405405407
194	0.003378378378378378
195	0.057432432432432436
196	0.02364864864864865
198	0.04054054054054054
199	0.0945945945945946
200	0.003378378378378378
201	0.033783783783783786
202	0.010135135135135136
203	0.09121621621621621
205	0.003378378378378378
206	0.006756756756756758
207	0.003378378378378378
208	0.07094594594594596
209	0.013513513513513513
211	0.22635135135135134
212	0.0
214	0.125
215	0.030405405405405407
216	0.003378378378378378
217	0.010135135135135136
218	0.010135135135135136
219	0.013513513513513513
220	0.013513513513513513
221	0.013513513513513513
222	0.006756756756756758
223	0.0777027027027027
224	0.0
225	0.027027027027027032
227	0.4662162162162162
228	0.027027027027027032
230	0.04391891891891892
231	0.003378378378378378
232	0.016891891891891893
233	0.0
234	0.033783783783783786
235	0.02027027027027027
236	0.02364864864864865
238	0.016891891891891893
239	0.033783783783783786
240	0.02027027027027027
241	0.010135135135135136
242	0.030405405405405407
243	0.033783783783783786
244	0.010135135135135136
245	0.030405405405405407
246	0.06756756756756757
247	0.037162162162162164
248	0.010135135135135136
249	0.016891891891891893
250	0.5337837837837838
251	0.07432432432432431
252	0.006756756756756758
253	0.006756756756756758
254	0.027027027027027032
255	0.0945945945945946
256	0.09797297297297297
257	0.04054054054054054
258	0.33445945945945943
259	0.006756756756756758
261	0.04391891891891892
262	0.09121621621621621
263	0.05067567567567568
264	0.02364864864864865
266	0.010135135135135136
268	0.060810810810810814
269	0.003378378378378378
270	0.02027027027027027
271	0.037162162162162164
274	0.057432432432432436
275	0.033783783783783786
276	0.003378378378378378
277	0.02364864864864865
278	0.016891891891891893
279	0.02027027027027027
280	0.006756756756756758
281	0.006756756756756758
282	0.037162162162162164
283	0.003378378378378378
284	0.057432432432432436
285	0.037162162162162164
286	0.033783783783783786
287	0.05067567567567568
288	0.016891891891891893
289	0.016891891891891893
290	0.006756756756756758
291	0.04054054054054054
292	0.013513513513513513
293	0.037162162162162164
294	0.027027027027027032
295	0.006756756756756758
296	0.010135135135135136
297	0.006756756756756758
299	0.0
302	0.05405405405405405
303	0.0
304	0.016891891891891893
305	0.0
306	0.013513513513513513
307	0.04054054054054054
308	0.033783783783783786
310	0.06418918918918919
311	0.05405405405405405
312	0.016891891891891893
313	0.07432432432432431
314	0.016891891891891893
315	0.030405405405405407
316	0.006756756756756758
318	0.0
319	0.05067567567567568
320	0.013513513513513513
321	0.006756756756756758
322	0.10472972972972971
323	0.027027027027027032
324	0.02364864864864865
325	1.0
326	0.060810810810810814
327	0.09121621621621621
328	0.0472972972972973
329	0.1081081081081081
330	0.037162162162162164
331	0.027027027027027032
332	0.06756756756756757
333	0.016891891891891893
334	0.11486486486486486
335	0.02027027027027027
336	0.027027027027027032
337	0.02364864864864865
338	0.2195945945945946
340	0.003378378378378378
341	0.006756756756756758
342	0.08445945945945946
343	0.05405405405405405
344	0.013513513513513513
345	0.07094594594594596
346	0.0472972972972973
347	0.05067567567567568
348	0.0472972972972973
349	0.04054054054054054
350	0.003378378378378378
351	0.02364864864864865
352	0.003378378378378378
353	0.06756756756756757
354	0.02027027027027027
355	0.1554054054054054
356	0.027027027027027032
357	0.006756756756756758
358	0.18243243243243246
359	0.0472972972972973
360	0.030405405405405407
361	0.02364864864864865
362	0.027027027027027032
363	0.016891891891891893
364	0.1925675675675676
365	0.057432432432432436
366	0.0945945945945946
367	0.016891891891891893
368	0.11824324324324324
369	0.04054054054054054
370	0.02364864864864865
371	0.06418918918918919
372	0.010135135135135136
373	0.016891891891891893
374	0.016891891891891893
375	0.010135135135135136
376	0.02027027027027027
377	0.006756756756756758
378	0.027027027027027032
379	0.11486486486486486
380	0.010135135135135136
381	0.057432432432432436
382	0.037162162162162164
383	0.010135135135135136
384	0.07094594594594596
385	0.07094594594594596
386	0.02364864864864865
387	0.003378378378378378
388	0.0
389	0.08108108108108107
390	0.12837837837837837
391	0.027027027027027032
392	0.02364864864864865
393	0.016891891891891893
394	0.027027027027027032
395	0.04054054054054054
396	0.027027027027027032
397	0.006756756756756758
398	0.030405405405405407
399	0.08445945945945946
400	0.0
401	0.08445945945945946
402	0.003378378378378378
403	0.037162162162162164
404	0.02027027027027027
405	0.006756756756756758
406	0.07094594594594596
407	0.41891891891891886
408	0.016891891891891893
409	0.016891891891891893
410	0.0472972972972973
411	0.08108108108108107
412	0.006756756756756758
413	0.04391891891891892
